,month,cat,predicted units,predicted sales,hk 2021-2023 sale,top demand account,customer,business channel,department
682,2023-12,KIT,11563,2693271,5713813086.4,900066,Amazon,B2B,performance
686,2023-12,OEK,19279,2345461,3800050074.23,900066,Amazon,B2B,performance
689,2023-12,TDK,19,1495,11982265.790000001,903670,Factory Motor Parts,WD,WD
690,2023-12,TDS,9,1441,20337270.790000003,903980,Parts Authority,WD,WD
693,2023-12,DSL,6307,848892,3159320413.06,903670,Factory Motor Parts,WD,WD
695,2023-12,EVC,49793,2384779,10163241965.35,900120,TPH Holdings,WD,WD
700,2023-12,RTR,7697,298962,3632347374.5,900120,TPH Holdings,WD,WD
701,2023-12,SCR,4986,167974,351980464.71999997,900120,TPH Holdings,WD,WD
706,2023-12,BRG,1727,52019,8736139.95,902830,Car Parts Warehouse,WD,WD
708,2023-12,DRM,187,9408,81654738.36,903670,Factory Motor Parts,WD,WD
710,2023-12,HDW,1670,2224,1923421.39,903670,Factory Motor Parts,WD,WD
714,2023-12,PBK,259,1183,16349008.49,900003OH,Summit Racing,B2B,performance
715,2023-12,PRO,364,600,1489520.43,903580,Parts Authority,WD,WD
716,2023-12,SBH,580,52379,130057049.91,903670,Factory Motor Parts,WD,WD
717,2023-12,SEN,3342,26277,619012195.13,903670,Factory Motor Parts,WD,WD
